amazed_suprised,happy_pleased,relaxing_calm,quiet_still,sad_lonely,angry_aggressive
0,1,1,0,0,0
1,0,0,0,0,1
0,1,0,0,0,1
0,0,1,0,0,0
0,0,0,1,0,0
0,1,1,0,0,0
1,1,0,0,0,0
0,0,0,0,0,1
1,1,0,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,0,1,0
0,0,0,0,1,0
1,0,0,0,0,1
0,0,1,1,1,0
0,1,1,0,0,0
0,0,0,0,1,1
0,0,1,1,1,0
1,0,0,0,0,1
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,1
0,0,1,0,0,0
1,1,0,0,0,1
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,1,1,0,0
1,0,0,0,0,1
0,0,0,0,0,1
1,1,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
1,1,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,1,0
0,0,1,1,1,0
0,1,1,0,0,0
1,1,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,1,1
0,0,0,0,0,1
1,0,0,0,0,1
1,0,0,0,0,1
0,0,1,1,1,0
0,0,1,1,1,0
0,0,1,0,1,0
1,1,0,0,0,0
0,1,0,0,1,0
0,0,0,0,1,1
0,1,1,0,0,0
0,0,1,1,0,0
0,0,1,1,1,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,1
0,0,0,0,0,1
1,1,1,0,0,0
1,0,1,0,0,0
0,0,1,0,1,1
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,1,0,1,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,1,0,1,0
0,0,1,1,0,0
0,0,0,0,0,1
0,1,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,1
0,0,1,0,1,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,1,1,1,0
1,0,0,0,0,1
0,0,0,0,0,1
1,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
1,0,0,0,0,1
0,1,1,0,0,0
1,0,0,0,0,1
1,1,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,1,1,1,0,0
0,1,1,0,0,0
1,1,0,0,0,1
0,0,1,0,1,0
0,0,1,0,1,0
0,0,1,0,0,1
0,0,1,1,1,0
0,0,0,0,0,1
0,1,1,0,0,0
1,0,0,0,0,1
0,0,0,1,1,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,1,1,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,1,1,0,0,0
1,1,0,0,0,0
0,1,1,0,0,0
0,0,0,0,1,1
1,0,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
1,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,1,1,0
1,0,0,0,0,1
1,0,0,0,0,1
0,1,1,1,0,0
0,0,1,0,1,0
0,0,0,1,1,0
0,0,0,0,0,1
0,0,1,1,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,0,1
0,0,1,1,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,1,0,1,0
0,0,1,1,1,0
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,1,1,0
0,0,1,1,0,0
0,1,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,1,0,0,0
0,0,1,1,0,0
0,1,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
1,1,1,0,0,0
1,0,0,0,0,0
0,0,1,0,1,0
0,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,0,1
1,1,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,1,1,1,0
0,1,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,0,1,1,0
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
0,1,1,0,0,0
0,0,1,0,0,0
0,1,1,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
0,1,1,0,0,0
1,0,0,0,0,0
0,0,1,1,1,0
1,0,0,0,0,0
0,1,1,0,0,0
1,1,0,0,0,0
0,0,1,1,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,0,0,0,0,1
1,1,0,0,0,0
0,0,1,1,1,0
0,0,1,1,0,0
1,0,0,0,0,1
1,0,0,0,0,1
1,1,0,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
1,1,1,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
0,0,1,1,1,0
1,1,1,0,0,0
0,1,0,1,0,0
0,0,1,0,1,0
1,0,0,0,0,1
1,1,0,0,0,0
1,0,0,0,0,1
1,1,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,1
1,1,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
0,1,1,1,0,0
1,0,0,0,0,1
0,0,1,0,1,0
0,0,1,1,0,0
0,0,0,0,1,1
0,1,1,0,0,0
0,0,1,1,0,0
0,0,0,0,0,1
0,0,1,1,1,0
1,0,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
1,0,0,0,0,1
1,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,0,1
1,1,0,0,0,0
1,0,1,0,0,0
1,0,0,0,0,1
0,0,1,1,1,0
0,0,1,1,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,1
0,0,1,0,1,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,1,0,1
1,0,0,0,0,1
1,0,0,0,1,0
0,0,1,0,0,0
0,0,0,1,1,0
0,0,0,1,1,0
0,0,1,1,1,0
0,0,0,1,1,0
1,0,0,0,1,0
1,0,0,0,0,1
1,1,0,0,0,0
1,0,0,0,1,0
0,0,1,1,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,1,1,0,0
0,0,1,1,1,0
0,0,0,1,0,0
0,0,1,1,0,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,1,0,0
0,0,1,1,0,0
0,0,1,0,0,0
0,1,1,0,0,0
0,0,0,1,1,0
0,0,0,1,1,0
1,1,0,0,0,0
0,1,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,1,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,1,1,0,0
0,0,0,1,0,0
1,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
1,0,0,0,0,1
0,1,0,0,0,0
0,0,1,1,1,0
0,0,0,0,1,0
0,1,1,0,0,0
0,0,1,1,1,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,1,0,0
0,0,1,1,0,0
0,0,0,1,1,0
0,0,0,1,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,1,0
0,1,0,0,0,0
1,1,1,0,0,0
1,1,1,0,0,0
0,0,0,1,1,0
1,1,0,0,0,0
0,0,1,1,1,0
0,0,1,1,1,0
0,0,1,1,0,0
0,1,0,0,0,1
1,1,1,0,0,0
1,0,0,0,0,1
1,1,0,0,0,0
1,1,0,0,0,1
0,1,1,0,0,0
0,0,1,0,0,0
0,0,0,1,1,0
1,0,0,0,0,0
0,1,1,1,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,1,0,0,0
0,0,1,0,1,0
0,0,0,1,1,1
0,0,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,1,0,0,0
0,1,0,0,0,0
0,0,1,1,1,0
0,0,0,1,1,0
0,0,1,1,1,0
0,0,0,0,0,1
1,0,0,0,0,1
0,1,1,0,0,0
0,0,0,1,1,0
0,1,1,0,0,0
0,0,1,1,1,0
