IATA_code1,id1,IATA_code2,id2,number_of_airlines
ABQ,1,ATL,15,1
ABQ,1,BWI,41,1
ABQ,1,DEN,79,4
ABQ,1,DFW,80,2
ABQ,1,IAD,139,1
ABQ,1,IAH,140,1
ABQ,1,LAS,165,1
ABQ,1,LAX,166,5
ABQ,1,MCI,178,1
ABQ,1,MDW,182,1
ABQ,1,MSP,194,1
ABQ,1,OAK,211,1
ABQ,1,ORD,214,2
ABQ,1,PDX,218,1
ABQ,1,PHX,224,2
ABQ,1,SAN,246,1
ABQ,1,SEA,253,1
ABQ,1,SFO,255,1
ABQ,1,SLC,267,1
ABQ,1,STL,270,1
ABQ,1,TUS,295,1
ABV,2,ACC,4,1
ABV,2,CAI,44,1
ABV,2,CDG,48,3
ABV,2,FRA,107,1
ABV,2,LOS,171,1
ACA,3,IAH,140,1
ACA,3,MEX,185,3
ACA,3,MTY,197,1
ACA,3,TIJ,284,1
ACC,4,ABV,2,1
ACC,4,CAI,44,1
ACC,4,CMN,62,1
ACC,4,DXB,93,1
ACC,4,FCO,102,1
ACC,4,FRA,107,1
ACC,4,IST,146,1
ACC,4,JFK,151,1
ACC,4,JNB,152,1
ACC,4,LOS,171,2
ACC,4,MAD,175,1
ACC,4,NBO,204,1
ADB,5,ATH,14,1
ADB,5,DUS,91,2
ADB,5,ERZ,95,1
ADB,5,ESB,96,2
ADB,5,FMO,105,1
ADB,5,FRA,107,1
ADB,5,GZT,124,1
ADB,5,HAJ,125,2
ADB,5,IST,146,4
ADB,5,MUC,198,3
ADB,5,SAW,249,2
ADB,5,SXF,273,0
ADB,5,TXL,296,2
ADB,5,TZX,297,1
ADB,5,VIE,302,1
AER,6,DME,85,6
AER,6,EVN,97,3
AER,6,IST,146,1
AER,6,SVO,272,2
AKL,7,BNE,31,7
AKL,7,CAN,45,1
AKL,7,CHC,53,2
AKL,7,HKG,131,2
AKL,7,HNL,133,2
AKL,7,ICN,141,1
AKL,7,KIX,157,2
AKL,7,KUL,162,1
AKL,7,LAX,166,2
AKL,7,MEL,183,8
AKL,7,NRT,210,2
AKL,7,PER,220,1
AKL,7,PVG,232,2
AKL,7,SCL,250,2
AKL,7,SFO,255,2
AKL,7,SIN,260,3
AKL,7,SYD,275,10
AKL,7,WLG,306,2
AKL,7,YVR,316,2
ALA,8,AUH,16,2
ALA,8,DEL,78,1
ALA,8,DME,85,1
ALA,8,FRA,107,1
ALA,8,FRU,108,2
ALA,8,GYD,123,1
ALA,8,HKG,131,1
ALA,8,ICN,141,2
ALA,8,IST,146,2
ALA,8,KBP,153,2
ALA,8,KUF,161,1
ALA,8,KUL,162,1
ALA,8,PEK,219,2
ALA,8,PRG,229,1
ALA,8,SAW,249,1
ALA,8,SHJ,259,1
ALA,8,SVO,272,1
ALA,8,TBS,280,1
ALA,8,TSE,291,6
ALC,9,BCN,20,3
ALC,9,BFS,24,3
ALC,9,BRS,36,3
ALC,9,BUD,39,1
ALC,9,CWL,74,3
ALC,9,DME,85,1
ALC,9,DUS,91,1
ALC,9,EXT,99,1
ALC,9,FRA,107,1
ALC,9,GLA,114,4
ALC,9,GVA,122,1
ALC,9,KEF,154,3
ALC,9,KRK,159,1
ALC,9,LBA,167,2
ALC,9,MAD,175,1
ALC,9,MUC,198,1
ALC,9,OTP,216,1
ALC,9,TXL,296,1
ALC,9,VCE,300,1
ALP,10,CAI,44,2
AMA,11,DEN,79,2
AMA,11,DFW,80,1
AMA,11,IAH,140,1
AMA,11,LAS,165,1
AMM,12,ATH,14,1
AMM,12,AUH,16,4
AMM,12,BAH,19,3
AMM,12,BCN,20,2
AMM,12,BEY,22,4
AMM,12,BOM,33,1
AMM,12,BSR,38,1
AMM,12,CAI,44,3
AMM,12,CDG,48,2
AMM,12,CMB,60,1
AMM,12,DAM,76,2
AMM,12,DEL,78,1
AMM,12,DME,85,2
AMM,12,DMM,86,1
AMM,12,DOH,87,2
AMM,12,DXB,93,3
AMM,12,FCO,102,3
AMM,12,FRA,107,3
AMM,12,GVA,122,1
AMM,12,IST,146,2
AMM,12,JED,150,4
AMM,12,JFK,151,3
AMM,12,KBP,153,1
AMM,12,KRT,160,1
AMM,12,KWI,163,3
AMM,12,LCA,169,2
AMM,12,MAD,175,2
AMM,12,MCT,180,2
AMM,12,MUC,198,2
AMM,12,MXP,200,2
AMM,12,ORD,214,3
AMM,12,OTP,216,2
AMM,12,RUH,245,3
AMM,12,SHJ,259,1
AMM,12,TIP,285,3
AMM,12,TLV,287,2
AMM,12,TUN,294,1
AMM,12,TXL,296,2
AMM,12,VIE,302,3
AMM,12,YUL,315,3
ANC,13,DEN,79,1
ANC,13,FAI,101,2
ANC,13,HNL,133,1
ANC,13,MSP,194,1
ANC,13,ORD,214,1
ANC,13,PDX,218,1
ANC,13,PHX,224,2
ANC,13,SEA,253,3
ANC,13,SLC,267,1
ATH,14,ADB,5,1
ATH,14,AMM,12,1
ATH,14,AUH,16,5
ATH,14,BCN,20,3
ATH,14,BEY,22,1
ATH,14,BUD,39,1
ATH,14,CAI,44,1
ATH,14,CDG,48,3
ATH,14,DME,85,1
ATH,14,DOH,87,1
ATH,14,DUS,91,2
ATH,14,DXB,93,1
ATH,14,EVN,97,1
ATH,14,FCO,102,4
ATH,14,FRA,107,2
ATH,14,GVA,122,2
ATH,14,HER,129,4
ATH,14,IST,146,3
ATH,14,JFK,151,4
ATH,14,KBP,153,1
ATH,14,LCA,169,4
ATH,14,MAD,175,2
ATH,14,MLA,190,1
ATH,14,MUC,198,3
ATH,14,MXP,200,3
ATH,14,NCE,205,1
ATH,14,OTP,216,3
ATH,14,PRG,229,1
ATH,14,SIN,260,1
ATH,14,SKG,266,4
ATH,14,SVO,272,1
ATH,14,SXF,273,1
ATH,14,TBS,280,1
ATH,14,TIA,283,4
ATH,14,TIP,285,1
ATH,14,TLS,286,1
ATH,14,TLV,287,3
ATH,14,TUN,294,1
ATH,14,VIE,302,2
ATH,14,YUL,315,1
ATL,15,ABQ,1,1
ATL,15,AUS,17,2
ATL,15,BCN,20,2
ATL,15,BDL,21,1
ATL,15,BHM,26,1
ATL,15,BNA,30,1
ATL,15,BOG,32,1
ATL,15,BOS,34,2
ATL,15,BSB,37,1
ATL,15,BUF,40,2
ATL,15,BWI,41,3
ATL,15,BZE,43,1
ATL,15,CDG,48,3
ATL,15,CHS,54,1
ATL,15,CLE,58,2
ATL,15,CLT,59,4
ATL,15,CMH,61,2
ATL,15,CUN,71,4
ATL,15,CVG,73,1
ATL,15,DAY,77,2
ATL,15,DEN,79,6
ATL,15,DFW,80,4
ATL,15,DSM,90,1
ATL,15,DUS,91,3
ATL,15,DXB,93,1
ATL,15,EWR,98,2
ATL,15,EZE,100,1
ATL,15,FCO,102,2
ATL,15,FLL,103,3
ATL,15,FRA,107,5
ATL,15,FWA,109,1
ATL,15,GCM,110,1
ATL,15,GDL,111,3
ATL,15,GIG,113,1
ATL,15,GPT,116,1
ATL,15,GRU,118,1
ATL,15,GSO,119,1
ATL,15,GSP,120,1
ATL,15,HNL,133,1
ATL,15,HSV,137,1
ATL,15,IAD,139,3
ATL,15,IAH,140,2
ATL,15,ICN,141,2
ATL,15,ICT,142,2
ATL,15,IND,144,2
ATL,15,JAN,148,1
ATL,15,JAX,149,2
ATL,15,JFK,151,1
ATL,15,JNB,152,1
ATL,15,LAS,165,3
ATL,15,LAX,166,3
ATL,15,LIM,170,1
ATL,15,LOS,171,1
ATL,15,MAD,175,2
ATL,15,MCI,178,2
ATL,15,MCO,179,3
ATL,15,MDW,182,3
ATL,15,MEM,184,2
ATL,15,MEX,185,3
ATL,15,MIA,188,2
ATL,15,MKE,189,2
ATL,15,MLI,192,1
ATL,15,MSP,194,2
ATL,15,MSY,196,2
ATL,15,MTY,197,3
ATL,15,MUC,198,3
ATL,15,MXP,200,2
ATL,15,MYR,201,1
ATL,15,NAS,203,2
ATL,15,NRT,210,1
ATL,15,ORD,214,4
ATL,15,ORF,215,2
ATL,15,PBI,217,2
ATL,15,PDX,218,2
ATL,15,PHF,222,1
ATL,15,PHL,223,4
ATL,15,PHX,224,5
ATL,15,PIT,225,2
ATL,15,PVR,233,2
ATL,15,PWM,234,1
ATL,15,RDU,235,2
ATL,15,RIC,239,2
ATL,15,ROC,242,2
ATL,15,RSW,244,2
ATL,15,SAN,246,1
ATL,15,SAT,247,2
ATL,15,SAV,248,1
ATL,15,SCL,250,1
ATL,15,SDF,251,2
ATL,15,SDQ,252,1
ATL,15,SEA,253,2
ATL,15,SFO,255,3
ATL,15,SJC,262,1
ATL,15,SJD,263,2
ATL,15,SJU,265,3
ATL,15,SLC,267,2
ATL,15,SMF,268,1
ATL,15,SRQ,269,1
ATL,15,STL,270,2
ATL,15,SXM,274,1
ATL,15,SYR,276,1
ATL,15,TPA,288,2
ATL,15,TUL,293,1
ATL,15,TUS,295,1
ATL,15,YUL,315,1
ATL,15,YYZ,321,4
AUH,16,ALA,8,2
AUH,16,AMM,12,4
AUH,16,ATH,14,5
AUH,16,BAH,19,5
AUH,16,BEY,22,2
AUH,16,BLR,29,1
AUH,16,BOM,33,3
AUH,16,BSR,38,1
AUH,16,CAI,44,2
AUH,16,CDG,48,1
AUH,16,CGK,51,1
AUH,16,CMB,60,4
AUH,16,CMN,62,2
AUH,16,CTU,70,2
AUH,16,DAM,76,1
AUH,16,DEL,78,3
AUH,16,DME,85,3
AUH,16,DMM,86,2
AUH,16,DOH,87,2
AUH,16,DUS,91,2
AUH,16,DXB,93,0
AUH,16,FRA,107,4
AUH,16,GVA,122,3
AUH,16,HKG,131,1
AUH,16,HYD,138,2
AUH,16,ICN,141,2
AUH,16,IKA,143,1
AUH,16,ISB,145,3
AUH,16,IST,146,3
AUH,16,JED,150,5
AUH,16,JFK,151,3
AUH,16,JNB,152,3
AUH,16,KRT,160,3
AUH,16,KUL,162,3
AUH,16,KWI,163,1
AUH,16,LCA,169,2
AUH,16,LOS,171,1
AUH,16,MAA,174,2
AUH,16,MCT,180,10
AUH,16,MEL,183,3
AUH,16,MLE,191,1
AUH,16,MNL,193,2
AUH,16,MSQ,195,1
AUH,16,MUC,198,4
AUH,16,MXP,200,2
AUH,16,NBO,204,1
AUH,16,NRT,210,2
AUH,16,ORD,214,3
AUH,16,PEK,219,3
AUH,16,PRG,229,2
AUH,16,PVG,232,3
AUH,16,RUH,245,3
AUH,16,SIN,260,5
AUH,16,SYD,275,3
AUH,16,TIP,285,1
AUH,16,TSE,291,2
AUH,16,TXL,296,2
AUH,16,YYZ,321,1
AUS,17,ATL,15,2
AUS,17,BNA,30,1
AUS,17,BOS,34,1
AUS,17,BWI,41,1
AUS,17,CLT,59,1
AUS,17,CUN,71,1
AUS,17,DEN,79,4
AUS,17,DFW,80,2
AUS,17,EWR,98,1
AUS,17,FLL,103,2
AUS,17,IAD,139,2
AUS,17,IAH,140,2
AUS,17,JFK,151,3
AUS,17,LAS,165,1
AUS,17,LAX,166,5
AUS,17,LBB,168,1
AUS,17,MCO,179,2
AUS,17,MDW,182,1
AUS,17,MEM,184,1
AUS,17,MSP,194,1
AUS,17,OAK,211,1
AUS,17,ORD,214,3
AUS,17,PHL,223,1
AUS,17,PHX,224,2
AUS,17,SAN,246,1
AUS,17,SEA,253,1
AUS,17,SFO,255,3
AUS,17,SJC,262,1
AUS,17,SLC,267,1
AUS,17,TPA,288,1
AYT,18,BRS,36,0
AYT,18,CWL,74,1
AYT,18,DUS,91,4
AYT,18,ESB,96,1
AYT,18,FMO,105,1
AYT,18,FRA,107,3
AYT,18,GLA,114,0
AYT,18,GVA,122,1
AYT,18,HAJ,125,4
AYT,18,IST,146,3
AYT,18,LUX,173,1
AYT,18,MUC,198,6
AYT,18,PRG,229,1
AYT,18,RIX,240,2
AYT,18,SAW,249,2
AYT,18,SVO,272,1
AYT,18,SXF,273,1
AYT,18,TXL,296,3
AYT,18,TZX,297,1
AYT,18,VIE,302,4
AYT,18,VNO,303,1
BAH,19,AMM,12,3
BAH,19,AUH,16,7
BAH,19,BEY,22,2
BAH,19,BOM,33,3
BAH,19,CAI,44,2
BAH,19,CDG,48,1
BAH,19,CMB,60,2
BAH,19,DEL,78,1
BAH,19,DMM,86,4
BAH,19,DOH,87,12
BAH,19,DXB,93,4
BAH,19,FCO,102,1
BAH,19,FRA,107,1
BAH,19,HKG,131,1
BAH,19,ISB,145,1
BAH,19,IST,146,2
BAH,19,JED,150,3
BAH,19,KRT,160,2
BAH,19,KWI,163,5
BAH,19,LCA,169,2
BAH,19,MAA,174,1
BAH,19,MCT,180,3
BAH,19,MNL,193,2
BAH,19,NBO,204,1
BAH,19,RUH,245,4
BAH,19,SHJ,259,1
BCN,20,ALC,9,3
BCN,20,AMM,12,2
BCN,20,ATH,14,3
BCN,20,ATL,15,2
BCN,20,BFS,24,2
BCN,20,BOG,32,1
BCN,20,BRS,36,1
BCN,20,BUD,39,2
BCN,20,CAI,44,1
BCN,20,CDG,48,3
BCN,20,CMN,62,3
BCN,20,CWL,74,2
BCN,20,DME,85,4
BCN,20,DOH,87,1
BCN,20,DUS,91,3
BCN,20,DXB,93,1
BCN,20,EWR,98,2
BCN,20,EZE,100,1
BCN,20,FCO,102,3
BCN,20,FRA,107,2
BCN,20,GLA,114,1
BCN,20,GRU,118,2
BCN,20,GVA,122,2
BCN,20,HAJ,125,1
BCN,20,ISB,145,1
BCN,20,IST,146,1
BCN,20,JFK,151,5
BCN,20,KBP,153,2
BCN,20,LBA,167,2
BCN,20,LUX,173,1
BCN,20,MAD,175,3
BCN,20,MIA,188,3
BCN,20,MLA,190,2
BCN,20,MUC,198,4
BCN,20,MXP,200,4
BCN,20,NAP,202,2
BCN,20,NCE,205,3
BCN,20,OTP,216,3
BCN,20,PHL,223,2
BCN,20,PMO,226,2
BCN,20,PRG,229,5
BCN,20,PSA,230,2
BCN,20,RIX,240,1
BCN,20,SIN,260,1
BCN,20,SVO,272,2
BCN,20,SXF,273,1
BCN,20,TLS,286,2
BCN,20,TLV,287,4
BCN,20,TUN,294,1
BCN,20,TXL,296,4
BCN,20,VCE,300,4
BCN,20,VIE,302,6
BCN,20,VNO,303,2
BCN,20,YUL,315,3
BCN,20,YYZ,321,2
BDL,21,ATL,15,1
BDL,21,BWI,41,1
BDL,21,CLE,58,1
BDL,21,CLT,59,2
BDL,21,CVG,73,1
BDL,21,DEN,79,1
BDL,21,DFW,80,1
BDL,21,EWR,98,1
BDL,21,FLL,103,2
BDL,21,IAD,139,1
BDL,21,JFK,151,1
BDL,21,LAS,165,1
BDL,21,MCO,179,2
BDL,21,MDW,182,1
BDL,21,MIA,188,1
BDL,21,MSP,194,1
BDL,21,ORD,214,3
BDL,21,PBI,217,1
BDL,21,PHL,223,2
BDL,21,PIT,225,2
BDL,21,RDU,235,1
BDL,21,SJU,265,1
BDL,21,TPA,288,1
BDL,21,YUL,315,1
BDL,21,YYZ,321,2
BEY,22,AMM,12,3
BEY,22,ATH,14,1
BEY,22,AUH,16,2
BEY,22,BAH,19,2
BEY,22,CAI,44,2
BEY,22,CDG,48,2
BEY,22,CMN,62,1
BEY,22,DMM,86,3
BEY,22,DOH,87,2
BEY,22,DXB,93,3
BEY,22,EVN,97,1
BEY,22,FCO,102,2
BEY,22,FRA,107,2
BEY,22,GVA,122,1
BEY,22,IKA,143,1
BEY,22,IST,146,2
BEY,22,JED,150,3
BEY,22,KWI,163,3
BEY,22,LCA,169,2
BEY,22,LOS,171,1
BEY,22,MCT,180,1
BEY,22,MHD,187,1
BEY,22,MSQ,195,1
BEY,22,MXP,200,1
BEY,22,OTP,216,2
BEY,22,RUH,245,3
BEY,22,SAW,249,1
BEY,22,SHJ,259,1
BEY,22,SVO,272,1
BEY,22,TUN,294,2
BEY,22,TXL,296,2
BFI,23,SEA,253,1
BFS,24,ALC,9,3
BFS,24,BCN,20,2
BFS,24,BRS,36,1
BFS,24,CDG,48,1
BFS,24,DLM,84,2
BFS,24,EWR,98,2
BFS,24,GLA,114,1
BFS,24,KRK,159,1
BFS,24,LBA,167,1
BFS,24,LCA,169,1
BFS,24,MLA,190,1
BGR,25,PHL,223,1
BGR,25,SFB,254,1
BHM,26,ATL,15,1
BHM,26,BNA,30,1
BHM,26,BWI,41,1
BHM,26,CLT,59,2
BHM,26,DEN,79,1
BHM,26,DFW,80,2
BHM,26,IAH,140,1
BHM,26,JAX,149,1
BHM,26,LAS,165,1
BHM,26,MCO,179,1
BHM,26,MDW,182,1
BHM,26,MEM,184,1
BHM,26,MIA,188,1
BHM,26,MSP,194,1
BHM,26,MSY,196,1
BHM,26,ORD,214,2
BHM,26,PHL,223,1
BHM,26,PHX,224,1
BHM,26,STL,270,1
BHM,26,TPA,288,1
BIL,27,DEN,79,3
BIL,27,LAS,165,1
BIL,27,MSP,194,1
BIL,27,OAK,211,1
BIL,27,PDX,218,1
BIL,27,SEA,253,1
BIL,27,SLC,267,1
BJV,28,BRS,36,2
BJV,28,DLM,84,0
BJV,28,DUS,91,1
BJV,28,ESB,96,2
BJV,28,EXT,99,0
BJV,28,FRA,107,1
BJV,28,GLA,114,0
BJV,28,IST,146,3
BJV,28,LBA,167,1
BJV,28,SAW,249,2
BLR,29,AUH,16,1
BLR,29,BOM,33,7
BLR,29,CCU,47,5
BLR,29,CDG,48,1
BLR,29,CMB,60,2
BLR,29,CTU,70,1
BLR,29,DEL,78,7
BLR,29,DMM,86,1
BLR,29,DOH,87,1
BLR,29,DXB,93,1
BLR,29,FRA,107,2
BLR,29,HKG,131,2
BLR,29,HYD,138,5
BLR,29,JED,150,1
BLR,29,KUL,162,3
BLR,29,MAA,174,7
BLR,29,MCT,180,1
BLR,29,MLE,191,1
BLR,29,RUH,245,0
BLR,29,SHJ,259,1
BLR,29,SIN,260,3
BNA,30,ATL,15,1
BNA,30,AUS,17,1
BNA,30,BHM,26,1
BNA,30,BOS,34,1
BNA,30,BWI,41,1
BNA,30,CHS,54,1
BNA,30,CLE,58,1
BNA,30,CLT,59,2
BNA,30,CMH,61,1
BNA,30,CVG,73,1
BNA,30,DEN,79,3
BNA,30,DFW,80,2
BNA,30,EWR,98,1
BNA,30,FLL,103,1
BNA,30,GSP,120,1
BNA,30,IAD,139,1
BNA,30,IAH,140,1
BNA,30,JAX,149,1
BNA,30,JFK,151,2
BNA,30,LAS,165,1
BNA,30,LAX,166,3
BNA,30,MCI,178,1
BNA,30,MCO,179,1
BNA,30,MDW,182,1
BNA,30,MEM,184,1
BNA,30,MIA,188,1
BNA,30,MSP,194,1
BNA,30,MSY,196,1
BNA,30,ORD,214,3
BNA,30,ORF,215,1
BNA,30,PHL,223,2
BNA,30,PHX,224,1
BNA,30,RDU,235,1
BNA,30,SAN,246,1
BNA,30,SAT,247,1
BNA,30,SLC,267,1
BNA,30,STL,270,1
BNA,30,TPA,288,1
BNA,30,YYZ,321,2
BNE,31,AKL,7,7
BNE,31,CAN,45,2
BNE,31,CBR,46,3
BNE,31,CHC,53,2
BNE,31,DFW,80,0
