IATA_code1,IATA_code2,number_of_airlines
ABQ,ATL,1
ABQ,BWI,1
ABQ,DEN,4
ABQ,DFW,2
ABQ,IAD,1
ABQ,IAH,1
ABQ,LAS,1
ABQ,LAX,5
ABQ,MCI,1
ABQ,MDW,1
ABQ,MSP,1
ABQ,OAK,1
ABQ,ORD,2
ABQ,PDX,1
ABQ,PHX,2
ABQ,SAN,1
ABQ,SEA,1
ABQ,SFO,1
ABQ,SLC,1
ABQ,STL,1
ABQ,TUS,1
ABV,ACC,1
ABV,CAI,1
ABV,CDG,3
ABV,FRA,1
ABV,LOS,1
ACA,IAH,1
ACA,MEX,3
ACA,MTY,1
ACA,TIJ,1
ACC,ABV,1
ACC,CAI,1
ACC,CMN,1
ACC,DXB,1
ACC,FCO,1
ACC,FRA,1
ACC,IST,1
ACC,JFK,1
ACC,JNB,1
ACC,LOS,2
ACC,MAD,1
ACC,NBO,1
ADB,ATH,1
ADB,DUS,2
ADB,ERZ,1
ADB,ESB,2
ADB,FMO,1
ADB,FRA,1
ADB,GZT,1
ADB,HAJ,2
ADB,IST,4
ADB,MUC,3
ADB,SAW,2
ADB,SXF,0
ADB,TXL,2
ADB,TZX,1
ADB,VIE,1
AER,DME,6
AER,EVN,3
AER,IST,1
AER,SVO,2
AKL,BNE,7
AKL,CAN,1
AKL,CHC,2
AKL,HKG,2
AKL,HNL,2
AKL,ICN,1
AKL,KIX,2
AKL,KUL,1
AKL,LAX,2
AKL,MEL,8
AKL,NRT,2
AKL,PER,1
AKL,PVG,2
AKL,SCL,2
AKL,SFO,2
AKL,SIN,3
AKL,SYD,10
AKL,WLG,2
AKL,YVR,2
ALA,AUH,2
ALA,DEL,1
ALA,DME,1
ALA,FRA,1
ALA,FRU,2
ALA,GYD,1
ALA,HKG,1
ALA,ICN,2
ALA,IST,2
ALA,KBP,2
ALA,KUF,1
ALA,KUL,1
ALA,PEK,2
ALA,PRG,1
ALA,SAW,1
ALA,SHJ,1
ALA,SVO,1
ALA,TBS,1
ALA,TSE,6
ALC,BCN,3
ALC,BFS,3
ALC,BRS,3
ALC,BUD,1
ALC,CWL,3
ALC,DME,1
ALC,DUS,1
ALC,EXT,1
ALC,FRA,1
ALC,GLA,4
ALC,GVA,1
ALC,KEF,3
ALC,KRK,1
ALC,LBA,2
ALC,MAD,1
ALC,MUC,1
ALC,OTP,1
ALC,TXL,1
ALC,VCE,1
ALP,CAI,2
AMA,DEN,2
AMA,DFW,1
AMA,IAH,1
AMA,LAS,1
AMM,ATH,1
AMM,AUH,4
AMM,BAH,3
AMM,BCN,2
AMM,BEY,4
AMM,BOM,1
AMM,BSR,1
AMM,CAI,3
AMM,CDG,2
AMM,CMB,1
AMM,DAM,2
AMM,DEL,1
AMM,DME,2
AMM,DMM,1
AMM,DOH,2
AMM,DXB,3
AMM,FCO,3
AMM,FRA,3
AMM,GVA,1
AMM,IST,2
AMM,JED,4
AMM,JFK,3
AMM,KBP,1
AMM,KRT,1
AMM,KWI,3
AMM,LCA,2
AMM,MAD,2
AMM,MCT,2
AMM,MUC,2
AMM,MXP,2
AMM,ORD,3
AMM,OTP,2
AMM,RUH,3
AMM,SHJ,1
AMM,TIP,3
AMM,TLV,2
AMM,TUN,1
AMM,TXL,2
AMM,VIE,3
AMM,YUL,3
ANC,DEN,1
ANC,FAI,2
ANC,HNL,1
ANC,MSP,1
ANC,ORD,1
ANC,PDX,1
ANC,PHX,2
ANC,SEA,3
ANC,SLC,1
ATH,ADB,1
ATH,AMM,1
ATH,AUH,5
ATH,BCN,3
ATH,BEY,1
ATH,BUD,1
ATH,CAI,1
ATH,CDG,3
ATH,DME,1
ATH,DOH,1
ATH,DUS,2
ATH,DXB,1
ATH,EVN,1
ATH,FCO,4
ATH,FRA,2
ATH,GVA,2
ATH,HER,4
ATH,IST,3
ATH,JFK,4
ATH,KBP,1
ATH,LCA,4
ATH,MAD,2
ATH,MLA,1
ATH,MUC,3
ATH,MXP,3
ATH,NCE,1
ATH,OTP,3
ATH,PRG,1
ATH,SIN,1
ATH,SKG,4
ATH,SVO,1
ATH,SXF,1
ATH,TBS,1
ATH,TIA,4
ATH,TIP,1
ATH,TLS,1
ATH,TLV,3
ATH,TUN,1
ATH,VIE,2
ATH,YUL,1
ATL,ABQ,1
ATL,AUS,2
ATL,BCN,2
ATL,BDL,1
ATL,BHM,1
ATL,BNA,1
ATL,BOG,1
ATL,BOS,2
ATL,BSB,1
ATL,BUF,2
ATL,BWI,3
ATL,BZE,1
ATL,CDG,3
