Rank,"Institution",State,2008 Endowment,2007 Endowment,Percent Change
1,"Harvard",MA,36556284,34634906,5.5
2,"Yale",CT,22869700,22530200,1.5
3,"Stanford",CA,17200000,17164836,0.2
4,"Princeton",NJ,16349329,15787200,3.6
5,"Texas",TX,16111184,15613672,3.2
6,"MIT",MA,10068800,9980410,0.9
7,"Michigan",MI,7571904,7089830,6.8
8,"Northwestern",IL,7243948,6503292,11.4
9,"Columbia",NY,7146806,7149803,0.0
10,"Texas A&M",TX,6659352,6590300,1.0
11,"U Chicago",IL,6632311,6204189,6.9
12,"U Penn",PA,6233281,6635187,-6.1
13,"Notre Dame",IN,6225688,5976973,4.2
14,"UC System",CA,6217340,6439436,-3.4
15,"Duke",NC,6123743,5910280,3.6
16,"Emory",GA,5472528,5561743,-1.6
17,"Cornell",NY,5385482,5247097,2.6
18,"Washington",MO,5350470,5567843,-3.9
19,"Rice",TX,4610164,4669544,-1.3
20,"Virginia",VA,4572613,4370209,4.6
21,"Dartmouth",NH,3660159,3760234,-2.7
22,"USC",CA,3589225,3715272,-3.4
23,"Vanderbilt",TN,3524338,3519753,0.1
24,"Minnesota",MN,2750770,2804466,-1.9
25,"Brown",RI,2746832,2633924,4.3
26,"Johns Hopkins",MD,2524575,2800377,-9.8
27,"New York",NY,2475200,2161800,14.5
28,"UNC Chapel Hill",NC,2358676,2164444,9.0
29,"Pitt",PA,2333602,2254379,3.5
30,"Washington",WA,2262149,2184374,3.6
31,"Ohio State",OH,2075853,2338103,-11.2
32,"Rockefeller U",NY,2020647,2144271,-5.8
33,"Cal Tech",CA,1891523,1860052,1.7
34,"Williams",MA,1808280,1892055,-4.4
35,"Pomona College",CA,1794453,1760902,1.9
36,"Case Western Reserve",OH,1766478,1841234,-4.1
37,"Purdue",IN,1735660,1786592,-2.9
38,"Wisconsin",WI,1735456,1645250,5.5
39,"U Rochester",NY,1730772,1726318,0.3
40,"Amherst College",MA,1705917,1662377,2.6
41,"U Richmond",VA,1704350,1654988,3.0
42,"U Toronto",ON,1702481,1763764,-3.5
43,"Boston College",MA,1630626,1670092,-2.4
44,"Wellesley",MA,1611319,1656565,-2.7
45,"Indiana",IN,1546469,1556853,-0.7
46,"Pennsylvania State",PA,1545314,1590000,-2.8
47,"Grinnell College",IA,1472448,1718313,-14.3
48,"U Illinois",IL,1459967,1515387,-3.7
49,"Tufts",MA,1445662,1452058,-0.4
50,"Swarthmore",PA,1412609,1441232,-2.0
51,"Southern Methodist",TX,1367744,1327816,3.0
52,"Smith",MA,1365792,1360966,0.4
53,"Yeshiva",NY,1344701,1409576,-4.6
54,"Georgia Tech",GA,1343503,1281162,4.9
55,"U Delaware",DE,1340145,1397492,-4.1
56,"Michigan State",MI,1282073,1247713,2.8
57,"Texas Christian",TX,1260145,1187057,6.2
58,"George Washington U",DC,1256433,1147451,9.5
59,"Wake Forest",NC,1253673,1248695,0.4
60,"Florida",FL,1250603,1219026,2.6
61,"Nebraska",NE,1221331,1277169,-4.4
62,"Kansas",KS,1217919,1238695,-1.7
63,"Oklahoma 1",OK,1154794,1114426,3.6
64,"Boston",MA,1144996,1101386,4.0
